trial 0, 18.1059999466 seconds, initial = 47.1924289236, final = 46.9820692501, result = 0.210359673447
trial 0, 23.4529998302 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 0, 27.1779999733 seconds, initial = 47.1924289236, final = 40.6621017963, result = 6.53032712721
trial 0, 14.6679999828 seconds, initial = 47.1924289236, final = 40.6621017963, result = 6.53032712721
trial 0, 26.3310000896 seconds, initial = 47.1924289236, final = 40.4679415804, result = 6.72448734319
trial 0, 5.36599993706 seconds, initial = 47.1924289236, final = 41.3579567091, result = 5.83447221445
trial 0, 56.614000082 seconds, initial = 47.1924289236, final = 40.4679415804, result = 6.72448734319
trial 0, 26.1529998779 seconds, initial = 47.1924289236, final = 40.4679415804, result = 6.72448734319
trial 0, 362.027999878 seconds, initial = 47.1924289236, final = 40.7226124126, result = 6.46981651093
trial 0, 27.5429999828 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 1, 26.9210000038 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 2, 26.8680000305 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 3, 27.7019999027 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 4, 29.6349999905 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 5, 28.0160000324 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 6, 27.1899998188 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 7, 29.5789999962 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 8, 28.2090001106 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 9, 27.8170001507 seconds, initial = 47.1924289236, final = 40.6851084174, result = 6.50732050614
trial 0, 55.1480000019 seconds, initial = 47.1924289236, final = 40.4679415804, result = 6.72448734319
trial 0, 43.2760000229 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 1, 41.5360000134 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 2, 44.0140001774 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 3, 41.2999999523 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 4, 41.8680000305 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 5, 43.873000145 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 6, 41.3480000496 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 7, 42.4800000191 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 8, 42.9330000877 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 9, 41.5920000076 seconds, initial = 47.1924289236, final = 40.467939758, result = 6.72448916558
trial 0, 11.9859998226 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 1, 11.4100000858 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 2, 11.5010001659 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 3, 11.8159999847 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 4, 11.8279998302 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 5, 12.4700000286 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 6, 11.8980000019 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 7, 11.9589998722 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 8, 11.7170000076 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 9, 11.9099998474 seconds, initial = 47.1924289236, final = 40.6569255198, result = 6.53550340379
trial 0, 12.1870000362 seconds, initial = 47.1924289236, final = 41.2661115948, result = 5.92631732874
trial 1, 12.995000124 seconds, initial = 47.1924289236, final = 40.467939859, result = 6.72448906452
trial 2, 12.2180001736 seconds, initial = 47.1924289236, final = 40.4679395956, result = 6.72448932793
trial 3, 12.0959999561 seconds, initial = 47.1924289236, final = 40.4679397874, result = 6.72448913619
trial 4, 13.246999979 seconds, initial = 47.1924289236, final = 40.4679396998, result = 6.72448922376
trial 5, 12.9199998379 seconds, initial = 47.1924289236, final = 40.4679400034, result = 6.72448892011
trial 6, 13.4200000763 seconds, initial = 47.1924289236, final = 40.4679426477, result = 6.72448627583
trial 7, 12.4850001335 seconds, initial = 47.1924289236, final = 40.4679397894, result = 6.72448913418
trial 8, 11.9010000229 seconds, initial = 47.1924289236, final = 40.4679857238, result = 6.72444319977
trial 9, 12.4319999218 seconds, initial = 47.1924289236, final = 40.4679397267, result = 6.72448919683
trial 10, 12.8190000057 seconds, initial = 47.1924289236, final = 40.4679397461, result = 6.72448917744
trial 11, 13.0439999104 seconds, initial = 47.1924289236, final = 40.4679396231, result = 6.7244893005
trial 12, 13.1570000648 seconds, initial = 47.1924289236, final = 40.4679397616, result = 6.72448916198
trial 13, 12.4760000706 seconds, initial = 47.1924289236, final = 40.4679416305, result = 6.72448729303
trial 14, 12.5729999542 seconds, initial = 47.1924289236, final = 40.4679395919, result = 6.72448933162
trial 15, 12.9279999733 seconds, initial = 47.1924289236, final = 40.4679395947, result = 6.7244893289
trial 16, 11.7980000973 seconds, initial = 47.1924289236, final = 40.4679400246, result = 6.72448889895
trial 17, 12.513999939 seconds, initial = 47.1924289236, final = 40.5373240459, result = 6.65510487763
trial 18, 14.0550000668 seconds, initial = 47.1924289236, final = 40.4679399234, result = 6.72448900016
trial 19, 12.9249999523 seconds, initial = 47.1924289236, final = 40.4679397913, result = 6.7244891323
trial 20, 12.9990000725 seconds, initial = 47.1924289236, final = 40.4679398137, result = 6.72448910981
trial 21, 12.7290000916 seconds, initial = 47.1924289236, final = 40.4679396161, result = 6.72448930742
trial 22, 12.9800000191 seconds, initial = 47.1924289236, final = 40.467939756, result = 6.72448916759
trial 23, 12.3350000381 seconds, initial = 47.1924289236, final = 40.4679401925, result = 6.72448873105
trial 24, 12.9240000248 seconds, initial = 47.1924289236, final = 40.4679398745, result = 6.72448904905
